  id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kecamatan,kecamatan_clean,type
5382,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG BERKAH BATUNUNGGAL,"JL. WAAS NO.1, BATUNUNGGAL, KEC. BANDUNG KIDUL,
  KOTA BANDUNG, JAWA BARAT 40266",2023,Kecamatan Bandung Kidul,Bandung Kidul,restaurant
5383,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG BISTIK 41,"GG. NANGKASUNI, TAMANSARI, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40116",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5352,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK KHAS MADURA SELERA PEDES,"2JVQ+J5H, BATUNUNGGAL, BANDUNG KIDUL, BANDUNG CITY,
  WEST JAVA 40266",2023,Bandung Kidul,Bandung Kidul,restaurant
5353,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK MADURA & AYAM GORENG CAK BRIYAN,"JL. BURANGRANG NO.16-12, BURANGRANG, KEC. LENGKONG,
  KOTA BANDUNG, JAWA BARAT 40262",2023,Kecamatan Lengkong,Lengkong,restaurant
5354,32,JAWA BARAT,3273,KOTA BANDUNG,"NASI BEBEK MADURA BUMBU HITAM ""OM ADIL""","JL. TAMANSARI NO.1, TAMANSARI, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40116",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5355,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK SERASA (BUMBU HITAM),"WARUNG WARNA HITAM, JL. TONGKENG NO.71, MERDEKA,
  SUMURBANDUNG, BANDUNG CITY, WEST JAVA 40113",2023,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
5356,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK SONGKEM AYAM GORENG,"BELAKANG NYA GEDUNG KE UANGAN NEGARA, PEREMPATAN
  LAMPU MERAH BANDUNG DEPANNYA HOTEL, KEC. LENGKONG",2023,Kecamatan Lengkong,Lengkong,restaurant
5357,32,JAWA BARAT,3273,KOTA BANDUNG,"NASI BEBEK SONGKEM MADJID ISTIQOMAH JL TAMAN
  CITARUM","JL. TAMAN CITARUM NO.1, CITARUM, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40115",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5358,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG,"JL. RANCABOLANG NO.184, SEKEJATI, KEC. BUAHBATU,
  KOTA BANDUNG, JAWA BARAT 40286",2023,Kecamatan Buahbatu,Buahbatu,restaurant
5359,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG & AYAM GORENG ANEKA RACUN,"JL. CIKUTRA BARAT NO.KEL NO. 98, SADANG SERANG,
  KECAMATAN COBLONG, KOTA BANDUNG, JAWA BARAT 40133",2023,Kecamatan Coblong,Coblong,restaurant
5360,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG & MIE TEK TEK AWET MUDA,"JL. JAPATI NO.2A, SADANG SERANG, KECAMATAN COBLONG,
  KOTA BANDUNG, JAWA BARAT 40133",2023,Kecamatan Coblong,Coblong,restaurant
5362,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG 389,"JL. IBRAHIM ADJIE NO.389, BINONG, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40275",2023,Kecamatan Kiaracondong,Kiaracondong,restaurant
5363,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG 73,"JL. BABAKAN CIAMIS KELURAHAN NO.73, BABAKAN CIAMIS,
  KEC. SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",2023,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
5364,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG ACENG,"JL. DURSASANA NO.8, PAMOYANAN, KEC. CICENDO, KOTA
  BANDUNG, JAWA BARAT 40173",2023,Kecamatan Cicendo,Cicendo,restaurant
5365,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG AEP'S,"JL. DR. SETIABUDI NO.143, GEGERKALONG, KEC.
  SUKASARI, KOTA BANDUNG, JAWA BARAT 40153",2023,Kecamatan Sukasari,Sukasari,restaurant
5366,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG ALA CEK ACONG,"JL. PANDU NO.1, PAMOYANAN, KEC. CICENDO, KOTA
  BANDUNG, JAWA BARAT 40173",2023,Kecamatan Cicendo,Cicendo,restaurant
5367,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG ALIYA,"JL. SUKAGALIH II, CIPEDES, KEC. SUKAJADI, KOTA
  BANDUNG, JAWA BARAT 40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5336,32,JAWA BARAT,3273,KOTA BANDUNG,MUJIGAE FESTIVAL CITYLINK,"JL. PETA NO.241, SUKA ASIH, KEC. BOJONGLOA KALER,
  KOTA BANDUNG, JAWA BARAT 40232",2023,Kecamatan Bojongloa Kaler,Bojongloa Kaler,restaurant
5337,32,JAWA BARAT,3273,KOTA BANDUNG,NAIMA BANDUNG,"JL. RANCABOLANG NO.52, SEKEJATI, KEC. BUAHBATU,
  KOTA BANDUNG, JAWA BARAT 40286",2023,Kecamatan Rancasari,Rancasari,restaurant
5338,32,JAWA BARAT,3273,KOTA BANDUNG,NAIMA RESTO,"JL. RANCABOLANG NO.142, MANJAHLEGA, KEC. RANCASARI,
  KOTA BANDUNG, JAWA BARAT 40286",2023,Kecamatan Rancasari,Rancasari,restaurant
5339,32,JAWA BARAT,3273,KOTA BANDUNG,NANNY'S PAVILLON,"JALAN LAKS LLRE MARTADINATA ST NO.125, CIHAPIT,
  BANDUNG WETAN, BANDUNG CITY, WEST JAVA 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5341,32,JAWA BARAT,3273,KOTA BANDUNG,NASI AYAM PENYET MBA IYEM,"JL. VAN DEVENTER NO.9, KB. PISANG, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40112",2023,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
5342,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BANCAKAN,"JL. DIPONEGORO NO.25, CITARUM, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40115",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5343,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK BUMBU HITAM KHAS MADURA,"3JP2+XJV, JL. KEBON KAWUNG, PASIR KALIKI, KEC.
  CICENDO, KOTA BANDUNG, JAWA BARAT 40171",2023,Kecamatan Cicendo,Cicendo,restaurant
5345,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK BUMBU HITAM KHAS MADURA ACONG,"4J4M+VQC, JL. BATIK KUMELI, SUKALUYU, KEC.
  CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 40123",2023,Kecamatan Cibeunying Kaler,Cibeunying Kaler,restaurant
5346,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK BUMBU HITAM MERCON,"JL. MOCH. TOHA NO.77, CIGERELENG, KEC. REGOL, KOTA
  BANDUNG, JAWA BARAT 40253",2023,Kecamatan Regol,Regol,restaurant
5347,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK CAK DUDUNG,"JL. CIKUTRA BARAT NO.56, CIGADUNG, KEC. CIBEUNYING
  KALER, KOTA BANDUNG, JAWA BARAT 40123",2023,Kecamatan Cibeunying Kaler,Cibeunying Kaler,restaurant
5348,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK CAK HASAN KHAS MADURA,"3JCX+427, JL. PSM DALAM, KEBUN JAYANTI, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40281",2023,Kecamatan Kiaracondong,Kiaracondong,restaurant
5350,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK KHAS MADURA,"JL. BUAH BATU NO.227, TURANGGA, KEC. LENGKONG, KOTA
  BANDUNG, JAWA BARAT 40265",2023,Kecamatan Lengkong,Lengkong,restaurant
5351,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK KHAS MADURA BU FITA,"JL. DUNGUSCARIANG NO.47, DUNGUS CARIANG, KEC.
  ANDIR, KOTA BANDUNG, JAWA BARAT 40183",2023,Kecamatan Andir,Andir,restaurant
5320,32,JAWA BARAT,3273,KOTA BANDUNG,MIE GACOAN,"JL. DIPATI UKUR NO.3, LEBAKGEDE, KECAMATAN COBLONG,
  KOTA BANDUNG, JAWA BARAT 40132",2023,Kecamatan Coblong,Coblong,restaurant
5325,32,JAWA BARAT,3273,KOTA BANDUNG,MIE GORENG NASI GORENG ANGLO BU SANI LANDOENG,"JL. MANGGA NO.26, CIHAPIT, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5326,32,JAWA BARAT,3273,KOTA BANDUNG,MIE GORENG PAK KARMINO,"JL. GATOT SUBROTO NO.234, BINONG, KEC. BATUNUNGGAL,
  KOTA BANDUNG, JAWA BARAT 40275",2023,Kecamatan Batununggal,Batununggal,restaurant
5328,32,JAWA BARAT,3273,KOTA BANDUNG,MIE TEK TEK DJAWA,"JL. A. YANI NO.296, KACAPIRING, KEC. BATUNUNGGAL,
  KOTA BANDUNG, JAWA BARAT 40271",2023,Kecamatan Batununggal,Batununggal,restaurant
5332,32,JAWA BARAT,3273,KOTA BANDUNG,MORNING GLORY AT ROOFTOP MITRA HOTEL BANDUNG,"JL. SUPRATMAN NO.98, CIHAUR GEULIS, KEC. CIBEUNYING
  KALER, KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Cibeunying Kaler,Cibeunying Kaler,restaurant
5334,32,JAWA BARAT,3273,KOTA BANDUNG,"MUCHO COFFEE, CAFE & RESTO","JL. ANGGREK NO.42, CIHAPIT, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5314,32,JAWA BARAT,3273,KOTA BANDUNG,MERGOSARI RESTAURANT,"JL. PELAJAR PEJUANG 45 NO.98, TURANGGA, KEC.
  LENGKONG, KOTA BANDUNG, JAWA BARAT 40264",2023,Kecamatan Lengkong,Lengkong,restaurant
5316,32,JAWA BARAT,3273,KOTA BANDUNG,MIE & NASI GORENG 'TANPA NAMA',"JL. TRUNOJOYO NO.6A, CITARUM, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40115",2023,Bandung Wetan,Bandung Wetan,restaurant
5288,32,JAWA BARAT,3273,KOTA BANDUNG,MADTARI RANGGAGADING 2,"JL. RANGGAGADING NO.2, TAMANSARI, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5289,32,JAWA BARAT,3273,KOTA BANDUNG,MAGAL BANDUNG,"RESORT LEVEL, PARIS VAN JAVA, JL. SUKAJADI
  NO.137-139, CIPEDES, KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT 40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5290,32,JAWA BARAT,3273,KOTA BANDUNG,MAI SUKI,"JL. L. L. R.E. MARTADINATA NO.18, CITARUM, KEC.
  BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5292,32,JAWA BARAT,3273,KOTA BANDUNG,MARUGAME UDON PVJ,"PARIS VAN JAVA, LANTAI GF, JL. SUKAJADI NO.131-139,
  CIPEDES, KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT 40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5294,32,JAWA BARAT,3273,KOTA BANDUNG,"MARUGAME UDON, BUAH BATU","JL. BUAH BATU NO.157, CIJAGRA, KEC. LENGKONG, KOTA
  BANDUNG, JAWA BARAT 40265",2023,Kecamatan Lengkong,Lengkong,restaurant
5295,32,JAWA BARAT,3273,KOTA BANDUNG,"MARUGAME UDON, RIAU BANDUNG","JALAN LAKSAMANA JL. L. L. R.E. MARTADINATA NO.112,
  CIHAPIT, KEC. BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40113",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5297,32,JAWA BARAT,3273,KOTA BANDUNG,MASA RESTAURANT & BAR,"JL. TRUNOJOYO NO.29, CITARUM, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40115",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5299,32,JAWA BARAT,3273,KOTA BANDUNG,MASTATO RAMEN TERNATE,"JL. TERNATE NO.08, CITARUM, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40115",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5273,32,JAWA BARAT,3273,KOTA BANDUNG,KULINER NUSANTARA DJURAGAN SATE KALIMANTAM,"JL. ACEH NO.24B, BABAKAN CIAMIS, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",2023,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
5274,32,JAWA BARAT,3273,KOTA BANDUNG,LA BASIL KOFFIE & RESTO,"JL. MANGGA NO.37, CIHAPIT, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40121",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5276,32,JAWA BARAT,3273,KOTA BANDUNG,LAMBUN OMBAK (AYAM BAKAR RENDANG UNI ZAL),"JL. KACAPIRING NO.16-2, KACAPIRING, KEC.
  BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40271",2023,Kecamatan Batununggal,Batununggal,restaurant
5278,32,JAWA BARAT,3273,KOTA BANDUNG,LILIWETAN RESTO & CAFE,"JL. SUPRATMAN NO.37, CIHAPIT, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5279,32,JAWA BARAT,3273,KOTA BANDUNG,LINGGARJATI NOODLE RESTAURANT,"JL. BALONGGEDE NO.1, BALONGGEDE, KEC. REGOL, KOTA
  BANDUNG, JAWA BARAT 40251",2023,Kecamatan Regol,Regol,restaurant
5280,32,JAWA BARAT,3273,KOTA BANDUNG,LITTLE TOKYO SHABU SHABU PVJ,"PARIS VAN JAVA, PARIS VAN JAVA RESORT LEVEL C NO.
  19, JL. SUKAJADI NO.131-139, CIPEDES, KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT
  40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5281,32,JAWA BARAT,3273,KOTA BANDUNG,LLAOLLAO,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139, CIPEDES,
  SUKAJADI, BANDUNG CITY, WEST JAVA 40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5282,32,JAWA BARAT,3273,KOTA BANDUNG,LOTEK KELENTENG,"JL. MEKAR HARUM NO.28, MEKARWANGI, KEC. BOJONGLOA
  KIDUL, KOTA BANDUNG, JAWA BARAT 40237",2023,Kecamatan Bojongloa Kidul,Bojongloa Kidul,restaurant
5283,32,JAWA BARAT,3273,KOTA BANDUNG,LUCIO LUCIANO PATISSERIE,"JL. SURYA KENCANA NO.12, LEBAKGEDE, KECAMATAN
  COBLONG, KOTA BANDUNG, JAWA BARAT 40132",2023,Kecamatan Coblong,Coblong,restaurant
5284,32,JAWA BARAT,3273,KOTA BANDUNG,LUMBUNG PADI,"JL. RANGGA MALELA NO.8, TAMANSARI, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5268,32,JAWA BARAT,3273,KOTA BANDUNG,KHAS ROTISELAI,"JL. RADEN PATAH NO.12, LEBAKGEDE, KECAMATAN
  COBLONG, KOTA BANDUNG, JAWA BARAT 40132",2023,Kecamatan Coblong,Coblong,restaurant
5269,32,JAWA BARAT,3273,KOTA BANDUNG,KINTAN BUFFET,"JL. SUKAJADI NO.131 - 139, CIPEDES, KEC. SUKAJADI,
  KOTA BANDUNG, JAWA BARAT 40162",2023,Kecamatan Sukajadi,Sukajadi,restaurant
5270,32,JAWA BARAT,3273,KOTA BANDUNG,KIRAI DIMSUM BENGAWAN,"JL. BENGAWAN NO.7A, CIHAPIT, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5240,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI ASMARA,"JL. L. L. R.E. MARTADINATA NO.102, CIHAPIT, KEC.
  BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5241,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI BEBEK HIJAU,"TALAGA BODAS ST NO.26, MALABAR, LENGKONG, BANDUNG
  CITY, WEST JAVA 40262",2023,Kecamatan Lengkong,Lengkong,restaurant
5242,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI DIMSUM 168,"PLAZA IBCC, JL. A. YANI NO.2 LANTAI DASAR AREA FOOD
  COURT, KACAPIRING, KEC. BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Batununggal,Batununggal,restaurant
5244,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI TEMEN SEMEJA,"JL. CIBOLERANG NO.23, MARGASUKA, KEC. BABAKAN
  CIPARAY, KOTA BANDUNG, JAWA BARAT 40225",2023,Kecamatan Babakan Ciparay,Babakan Ciparay,restaurant
5246,32,JAWA BARAT,3273,KOTA BANDUNG,KENZU JAPANESE CHEESE DRINK CIWALK,"JL. CIHAMPELAS WALK, CIPAGANTI, KECAMATAN COBLONG,
  KOTA BANDUNG, JAWA BARAT 40131",2023,Kecamatan Coblong,Coblong,restaurant
5224,32,JAWA BARAT,3273,KOTA BANDUNG,JUSTUS STEAK HOUSE PASKAL 23,"PASKAL HYPER SQUARE, LANTAI 3 SAMPING RAA CHA
  PASKAL 23, KB. JERUK, KOTA BANDUNG, JAWA BARAT",2023,Kecamatan Andir,Andir,restaurant
5225,32,JAWA BARAT,3273,KOTA BANDUNG,KAFE KOPAJA BANDUNG,"4J39+J6M, LEBAK GEDE, COBLONG, BANDUNG CITY, WEST
  JAVA 40132",2023,Coblong,Coblong,restaurant
5227,32,JAWA BARAT,3273,KOTA BANDUNG,KAMAR NENEK,"JL. CIPAGANTI NO.150, CIPAGANTI, KECAMATAN COBLONG,
  KOTA BANDUNG, JAWA BARAT 40131",2023,Kecamatan Coblong,Coblong,restaurant
5233,32,JAWA BARAT,3273,KOTA BANDUNG,KAREUEUSS (NASI GORENG),"4H9W+JM6, PASTEUR, SUKAJADI, BANDUNG CITY, WEST
  JAVA 40161",2023,Sukajadi,Sukajadi,restaurant
5209,32,JAWA BARAT,3273,KOTA BANDUNG,JD KITCHEN TAMAN PRAMUKA - BANDUNG,"JL. TAMAN PRAMUKA NO.171, CIHAPIT, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40112",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5211,32,JAWA BARAT,3273,KOTA BANDUNG,JOONGLA,"PS. CIHAPIT, JL. CIHAPIT, CIHAPIT, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40114",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5212,32,JAWA BARAT,3273,KOTA BANDUNG,JUMBO EATERY RIAU,"JL. L. L. R.E. MARTADINATA NO.22, CITARUM, KEC.
  BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40113",2023,Kecamatan Bandung Wetan,Bandung Wetan,restaurant
5213,32,JAWA BARAT,3273,KOTA BANDUNG,JUSTUS BURGER & STEAK BEC,"JL. PURNAWARMAN NO.13, BABAKAN CIAMIS, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",2023,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
5214,32,JAWA BARAT,3273,KOTA BANDUNG,JUSTUS STEAK BTC,"F1 BANDUNG TRADE CENTER, JL. DR. DJUNJUNAN, NO.
  143-149, PASTEUR, SUKAJADI, 40163 BANDUNG, INDONESIA, PAJAJARAN, CICENDO,
  BANDUNG CITY, WEST JAVA 40163",2023,Cicendo,Cicendo,restaurant
